"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_1201600",3260,1850,1747,1967
"PVP01_1460900",75,109,117,94
"PVP01_1266400",3249,3000,3358,4204
"PVP01_1258800",2550,1766,3744,3479
"PVP01_MIT02700",78,82,210,73
"PVP01_0734400",307,89,76,75
"PVP01_0008370",0,0,0,0
"PVP01_0722600",245,118,217,243
"PVP01_0201100",2465,1229,1872,1159
"PVP01_1014800",1073,774,1081,1090
"PVP01_0008230",0,0,0,0
"PVP01_0008700",0,0,0,0
"PVP01_0726000",69,88,109,120
"PVP01_0505800",49,53,26,74
"PVP01_0001060",0,0,0,0
"PVP01_0003040",0,0,0,0
"PVP01_0006510",0,0,0,0
"PVP01_0405600",2,7,5,4
"PVP01_0612100",9181,7152,16162,3544
"PVP01_0737500",0,0,0,0
"PVP01_0119000",0,0,0,0
"PVP01_0711200",17,12,20,10
"PVP01_1320400",1778,2814,1862,2581
"PVP01_0615500",28,2,103,85
"PVP01_0916700",26,10,30,31
"PVP01_0108800",458,365,583,448
"PVP01_1317300",3894,4864,4184,4974
"PVP01_0707800",207,177,198,202
"PVP01_1302500",0,2,0,0
"PVP01_0000460",0,0,0,0
"PVP01_0421900",0,0,0,0
"PVP01_1223400",391,308,406,266
"PVP01_0006100",0,0,0,0
"PVP01_1427700",146,95,173,188
"PVP01_1220300",6,9,10,18
"PVP01_1112200",4420,4229,5058,4854
"PVP01_0106400",127,178,262,191
"PVP01_0000340",0,0,0,0
"PVP01_1422100",5560,6660,5045,7119
"PVP01_0011060",0,0,0,0
"PVP01_1245200",22,17,38,30
"PVP01_0210500",2690,2880,4136,1970
"PVP01_1403500",0,0,0,0
"PVP01_1001100",64,88,128,102
"PVP01_1336900",0,1,2,1
"PVP01_MIT02300",70,157,358,243
"PVP01_0311800",927,752,1061,1119
"PVP01_1420400",135,96,131,194
"PVP01_0415300",14,36,100,40
"PVP01_0010120",0,0,0,0
"PVP01_API04300",0,0,0,0
"PVP01_1028100",2276,2042,2493,1788
"PVP01_0420300",1086,565,864,1053
"PVP01_1265900",805,646,675,857
"PVP01_API01500",0,0,0,0
"PVP01_0919600",1611,1275,1398,2338
"PVP01_0947000",0,0,0,0
"PVP01_1012200",1432,1114,2404,2629
"PVP01_0204600",2290,2618,2041,2537
"PVP01_1118100",325,529,594,480
"PVP01_1100900",221,77,145,126
"PVP01_0803200",2067,1334,1442,1625
"PVP01_0121800",0,0,0,0
"PVP01_0600700",684,55,12,7
"PVP01_1135500",661,973,557,1085
"PVP01_1410900",57,55,49,57
"PVP01_1347000",0,0,0,0
"PVP01_1463100",1176,1026,1296,1395
"PVP01_0101100",474,446,734,512
"PVP01_0942100",2,1,1,108
"PVP01_1036100",0,0,0,0
"PVP01_0943600",0,0,0,0
"PVP01_1103300",319,184,472,420
"PVP01_0119900",0,0,0,0
"PVP01_1148900",0,0,0,0
"PVP01_0511800",24,20,101,33
"PVP01_1269200",944,650,898,863
"PVP01_0100100",1727,1091,1671,2501
"PVP01_0214000",142,160,258,233
"PVP01_0001440",0,0,0,0
"PVP01_0005670",0,0,0,0
"PVP01_0003900",0,0,0,0
"PVP01_0005570",0,0,0,0
"PVP01_1465000",561,481,572,374
"PVP01_1257100",17,13,32,12
"PVP01_1400900",27,98,43,26
"PVP01_0606600",7651,4602,5264,5221
"PVP01_0007130",0,0,0,0
"PVP01_1002400",2073,3058,4001,3849
"PVP01_0002330",0,0,0,0
"PVP01_0007080",0,0,0,0
"PVP01_1142300",1965,1366,2564,2855
"PVP01_0739100",0,0,0,0
"PVP01_1130900",349,582,445,703
"PVP01_1262300",0,1,1,1
"PVP01_0834900",2590,2817,3078,3243
"PVP01_1424500",13,12,16,14
"PVP01_1118500",162,108,245,152
"PVP01_0003930",0,0,0,0
"PVP01_0721700",28,42,26,50
"PVP01_0010100",0,0,0,0
"PVP01_0614800",7973,7657,6538,6381
"PVP01_1254100",80,63,76,85
"PVP01_0006870",0,0,0,0
"PVP01_0823200",2161,2293,1738,2958
"PVP01_0828400",900,671,482,817
"PVP01_1322900",75,100,217,120
"PVP01_0007240",0,0,0,0
