gene_id	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_1203100	100	100	1	484
PVP01_1203300	100	100	100	100
PVP01_1207300	100	100	100	100
PVP01_1207600	1368	100	100	1
PVP01_1208500	3780	100	100	1
PVP01_1210500	100	100	1	586
PVP01_1210600	100	100	100	100
PVP01_1211000	100	100	100	100
PVP01_1211700	100	100	655	1
PVP01_1211800	100	100	100	100
PVP01_1211900	100	102	100	100
PVP01_1212200	100	100	1	91
PVP01_1212800	100	100	100	100
PVP01_1213400	100	100	100	100
PVP01_1213600	1	840	100	100
PVP01_1213900	100	100	100	100
PVP01_1215100	100	100	505	1
PVP01_1216400	100	100	100	100
PVP01_1216500	100	100	100	100
PVP01_1217900	100	100	100	100
PVP01_1218900	100	100	216	1
PVP01_1222500	100	100	1	257
PVP01_1223100	100	100	100	100
PVP01_1227000	100	100	1000	1
PVP01_1227100	100	100	1	49
PVP01_1230900	100	100	100	100
PVP01_1231200	100	100	100	100
PVP01_1232400	100	100	100	100
PVP01_1233600	1	695	100	100
PVP01_1235700	100	100	100	100
PVP01_1236000	100	100	100	100
PVP01_1237600	100	100	100	100
PVP01_1238100	100	100	100	100
PVP01_1238400	100	100	100	100
PVP01_1238900	100	100	100	100
PVP01_1240500	100	100	100	100
PVP01_1240900	100	1228	100	100
PVP01_1242900	100	100	1	485
PVP01_1244000	100	100	100	100
PVP01_1245400	100	100	100	1103
PVP01_1246100	100	1850	100	100
PVP01_1246200	100	100	100	100
PVP01_1246500	6710	100	100	1
PVP01_1248400	100	100	200	1
PVP01_1249700	100	100	2696	1
PVP01_1251600	100	100	100	100
PVP01_1253300	100	100	100	100
PVP01_1255000	100	100	1	492
PVP01_1255900	100	100	100	100
PVP01_1260000	100	100	100	100
PVP01_1263100	100	100	100	100
PVP01_1264100	100	100	100	100
PVP01_1264300	100	100	141	100
PVP01_1265700	100	100	153	1
PVP01_1266900	100	100	503	1
PVP01_1267100	100	100	100	100
PVP01_1267500	100	100	1	219
PVP01_1304600	100	100	189	1
PVP01_1304700	100	100	100	100
PVP01_1305300	100	100	100	100
PVP01_1305400	100	100	100	122
PVP01_1306100	100	100	100	100
PVP01_1308000	100	100	471	100
PVP01_1308400	100	100	100	100
PVP01_1308500	100	100	100	100
PVP01_1311600	100	100	100	100
PVP01_1312300	100	100	459	1
PVP01_1313200	100	100	1	97
PVP01_1313900	100	100	100	190
PVP01_1315000	100	100	100	100
PVP01_1318000	100	100	100	100
PVP01_1319600	100	100	100	100
PVP01_1321100	100	100	1	373
PVP01_1322600	100	100	100	100
PVP01_1323200	100	100	100	100
PVP01_1323300	2899	100	100	1
PVP01_1324000	100	100	1	906
PVP01_1324700	100	100	100	100
PVP01_1324800	100	100	100	100
PVP01_1325700	100	100	1	90
PVP01_1327700	4233	100	100	1
PVP01_1328200	100	100	100	100
PVP01_1334500	100	100	966	1
PVP01_1334600	100	100	100	100
PVP01_1334700	100	100	1	490
PVP01_1335200	100	100	1	302
PVP01_1337500	100	100	100	100
PVP01_1337700	100	100	1	530
PVP01_1338500	100	100	1	3250
PVP01_1339700	100	100	704	1
PVP01_1340400	100	100	100	100
PVP01_1342500	100	100	100	100
PVP01_1343100	100	100	100	103
PVP01_1346200	100	100	100	100
PVP01_1346900	100	100	100	100
PVP01_1403700	100	100	100	100
PVP01_1407300	100	100	100	100
PVP01_1409200	100	100	100	100
PVP01_1409300	100	100	100	100
PVP01_1411700	100	100	1	3490
PVP01_1412500	100	100	637	1
PVP01_1418000	100	100	363	1
PVP01_1418700	100	100	100	100
PVP01_1420300	100	100	521	100
PVP01_1421500	100	100	355	1
