GeneID	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_1334700	1	1	1	490
PVP01_1335200	1	1	1	302
PVP01_1337500	1	1	1	1
PVP01_1337700	1	1	1	530
PVP01_1338500	1	1	1	"3,250"
PVP01_1339700	1	1	704	1
PVP01_1340400	"7,184"	"2,758"	"1,423"	1
PVP01_1342500	244	272	164	1
PVP01_1343100	1	1	1	103
PVP01_1346200	"4,511"	"2,880"	1	1
PVP01_1346900	1	1	1	1
PVP01_1403700	"3,647"	"4,312"	"1,378"	1
PVP01_1407300	1	298	"1,370"	1
PVP01_1409200	326	276	1	1
PVP01_1409300	1	1	1	1
PVP01_1411700	1	1	1	"3,490"
PVP01_1412500	1	1	637	1
PVP01_1418000	1	1	363	1
PVP01_1418700	"6,043"	"4,372"	"1,792"	1
PVP01_1420300	1	1	521	1
PVP01_1421500	1	1	355	1
PVP01_1421900	1	1	1	272
PVP01_1426100	"12,621"	"3,777"	"2,153"	1
PVP01_1426300	"6,562"	"2,627"	"1,409"	1
PVP01_1427800	1	255	1	1
PVP01_1429000	1	185	363	181
PVP01_1431600	"1,920"	"1,417"	954	262
PVP01_1438700	1	1	259	1
PVP01_1439200	1	"1,052"	"2,163"	1
PVP01_1440900	1	1	1	"1,796"
PVP01_1441300	1	1	"1,485"	"4,034"
PVP01_1442300	1	1	"2,393"	1
PVP01_1445700	1	1	229	1
PVP01_1446800	1	1	"14,028"	"12,459"
PVP01_1447400	1	1	543	563
PVP01_1447500	1	"4,275"	1	1
PVP01_1448000	1	1	1	200
PVP01_1449600	1	1	1	1
PVP01_1450700	1	1	312	648
PVP01_1451700	251	315	134	1
PVP01_1453700	1	1	793	1
PVP01_1455100	1	1	1	1
PVP01_1456000	1	1	1	"1,854"
PVP01_1457300	158	346	583	1
PVP01_1459000	1	1	386	1
PVP01_1459800	"5,889"	1	"2,318"	1
PVP01_1460800	1	1	1	1
PVP01_1461200	1	1	1	241
PVP01_1463400	1	1	1	1
PVP01_1463500	1	1	1	"1,521"
PVP01_1467300	1	1	1	372
PVP01_1468300	1	1	1	909
PVP01_1469200	1	1	309	"1,207"
